"timeframe","state","rps"
"2018-2020","IL",0
"2018-2020","MA",0.0153969527301426
"2018-2020","MD",0.0314437349890884
"2018-2020","ME",0.0202947135487129
"2018-2020","MI",0.0208936719623845
"2018-2020","MN",0
"2018-2020","MO",0.021103013283577
"2018-2020","NC",0
"2018-2020","NH",0.0157609850089749
"2018-2020","NJ",0
"2018-2020","NM",0.0278832320087011
"2018-2020","NV",0.0195723733378415
"2018-2020","NY",0.0314353296344921
"2018-2020","OH",0
"2018-2020","OR",0
"2018-2020","PA",0.00111510246519095
"2018-2020","RI",0.0340482278221887
"2018-2020","TX",0
"2018-2020","VA",0
"2018-2020","VT",0
"2018-2020","WA",0.0209188739866749
"2018-2020","WI",0
"2018-2021","AZ",0.000651073653355075
"2018-2021","CA",0.00303710717076925
"2018-2021","CO",0.00381560971669329
"2018-2021","CT",0.0521303550898341
"2018-2021","DE",0
"2018-2021","IA",0
"2018-2021","IL",0.00272713105325047
"2018-2021","MA",0.0303193924755127
"2018-2021","MD",0.0420889491523455
"2018-2021","ME",0.0451311064059548
"2018-2021","MI",0.0381932712313156
"2018-2021","MN",0
"2018-2021","MO",0.0403068061399899
"2018-2021","NC",0
"2018-2021","NH",0.0230315410488968
"2018-2021","NJ",0
"2018-2021","NM",0.0303943125862862
"2018-2021","NV",0.0264102924465735
"2018-2021","NY",0.0434968464253954
"2018-2021","OH",0
"2018-2021","OR",0
"2018-2021","PA",0.000497682983360751
"2018-2021","RI",0.0465821183794053
"2018-2021","TX",0
"2018-2021","VA",0.000614748940197424
"2018-2021","VT",0.00248250836014876
"2018-2021","WA",0.0262219305422248
"2018-2021","WI",0
"2018-2022","AZ",0.000754119511601199
"2018-2022","CA",0.0103957849519383
"2018-2022","CO",0.003703387464553
"2018-2022","CT",0.0626674321395317
"2018-2022","DE",0
"2018-2022","IA",0
"2018-2022","IL",0.0228407999005406
"2018-2022","MA",0.0423995466759723
"2018-2022","MD",0.0241753264963258
"2018-2022","ME",0.0741953852921166
"2018-2022","MI",0.0370544589364134
"2018-2022","MN",0
"2018-2022","MO",0.0416421089859118
"2018-2022","NC",0
"2018-2022","NH",0.0279772509096449
"2018-2022","NJ",0
"2018-2022","NM",0.0646793696317845
"2018-2022","NV",0.0814608286979557
"2018-2022","NY",0.0502712252599414
"2018-2022","OH",0
"2018-2022","OR",0
"2018-2022","PA",0
"2018-2022","RI",0.0621637808307499
"2018-2022","TX",0
"2018-2022","VA",0.000811732738413253
"2018-2022","VT",0.0122093833946304
"2018-2022","WA",0.0306099926392514
"2018-2022","WI",0
"2018-2023","AZ",0.000900681311033672
"2018-2023","CA",0.0146844060436889
"2018-2023","CO",0.00319839618724234
"2018-2023","CT",0.0672369174479495
"2018-2023","DE",0
"2018-2023","IA",0
"2018-2023","IL",0.03216248084583
"2018-2023","MA",0.0509846715683779
"2018-2023","MD",0.0265068986795054
"2018-2023","ME",0.086613240009544
"2018-2023","MI",0.0354146631714147
"2018-2023","MN",0
"2018-2023","MO",0.0388400708127582
"2018-2023","NC",0
"2018-2023","NH",0.0310814851786708
"2018-2023","NJ",0
"2018-2023","NM",0.0833160717681366
"2018-2023","NV",0.0952304245896962
"2018-2023","NY",0.0770847139061506
"2018-2023","OH",0
"2018-2023","OR",0
"2018-2023","PA",0
"2018-2023","RI",0.0894166354602691
"2018-2023","TX",0
