"timeframe","var","coeff","result","se","ss","lo","hi"
"2021-2024","st_rps_sales_cost",0.407932507156951,"R0.41 (0.16)",0.157219510362353,"",-0.239398057298311,1.05526307161221
"2021-2024","st_btm_delta",0.524527701163397,"R0.52* (0.06)",0.0585946657042463,"*",0.222107480584024,0.82694792174277
"2021-2024","st_load_pct",-0.442588578992694,"R-0.44* (0.04)",0.0391425549554697,"*",-0.559651577065436,-0.325525580919953
"2021-2024","st_gas_exposure",0.20212413870835,"R0.2 (0.09)",0.0871440376825575,"",-0.00709274723937917,0.41134102465608
"2021-2024","st_saifi_delta",-0.0851045580385726,"R-0.09 (0.06)",0.0609288718501632,"",-0.24545600619096,0.0752468901138151
"2021-2024","ca_rescale",0.640899331873522,"R0.64* (0.07)",0.0712623835486274,"*",0.460175313336734,0.821623350410311
"2021-2024","st_rate_delta_pre",-0.517454082224794,"R-0.52* (0.1)",0.102595043326081,"*",-0.792315287415829,-0.242592877033759
"2022-2024","(Intercept)",-0.175397652773335,"R-0.18 (0.13)",0.13165744792752,"",-0.490489403240482,0.139694097693812
"2022-2024","st_wind_solar_delta",-0.23570030033162,"R-0.24 (0.12)",0.118051094035672,"",-0.5566184633035,0.0852178626402609
"2022-2024","st_rps_sales_cost",0.314628077078201,"R0.31 (0.14)",0.137147740845752,"",-0.277528263343281,0.906784417499682
"2022-2024","st_btm_delta",0.628896044557222,"R0.63* (0.1)",0.0957728302693664,"*",0.243574483753976,1.01421760536047
"2022-2024","st_load_pct",-0.431267795812301,"R-0.43* (0.13)",0.128915719701509,"*",-0.805749036897531,-0.0567865547270712
"2022-2024","st_gas_exposure",0.202647984580372,"R0.2 (0.15)",0.149859781939197,"",-0.169384686406814,0.574680655567557
"2022-2024","st_saifi_delta",-0.238984940870358,"R-0.24 (0.14)",0.140753100915333,"",-0.655180643498246,0.177210761757531
"2022-2024","ca_rescale",0.61858179770781,"R0.62* (0.08)",0.0814866135526034,"*",0.411530849538768,0.825632745876851
"2022-2024","st_rate_delta_pre",-0.914195489944586,"R-0.91* (0.2)",0.198685035910059,"*",-1.42068514204571,-0.407705837843466
"2023-2024","(Intercept)",-0.200235303391178,"R-0.2 (0.1)",0.10045677345874,"",-0.438763319154809,0.0382927123724535
"2023-2024","st_wind_solar_delta",-0.145790806575547,"R-0.15 (0.06)",0.0640448791527167,"",-0.313625234890377,0.022043621739282
"2023-2024","st_rps_sales_cost",0.287200023821512,"R0.29 (0.09)",0.0898723404629328,"",-0.149469547281568,0.723869594924591
"2023-2024","st_btm_delta",0.158604058161341,"R0.16 (0.21)",0.207144453051997,"",-0.5229622882359,0.840170404558581
"2023-2024","st_load_pct",-0.193298264436659,"R-0.19* (0.05)",0.0468407992272384,"*",-0.316398362023836,-0.0701981668494825
"2023-2024","st_gas_exposure",0.0953485910199025,"R0.1 (0.19)",0.18524319414664,"",-0.400043065184222,0.590740247224027
"2023-2024","st_saifi_delta",-0.0277593684143179,"R-0.03 (0.06)",0.062056612757729,"",-0.252643544898392,0.197124808069756
"2023-2024","ca_rescale",0.617049921792546,"R0.62* (0.14)",0.14083510756302,"*",0.266391147036058,0.967708696549034
"2023-2024","st_rate_delta_pre",-0.876562521592968,"R-0.88 (0.4)",0.404866880560265,"",-1.97535771321269,0.22223267002676
"2021-2023","(Intercept)",0.305156641255411,"R0.31* (0.05)",0.0479839720561463,"*",0.191314675918308,0.418998606592514
"2021-2023","st_wind_solar_delta",-0.0895076620450669,"R-0.09 (0.07)",0.0738388616908042,"",-0.336975965598272,0.157960641508138
"2021-2023","st_rps_sales_cost",0.0555352266721068,"R0.06 (0.32)",0.318946054834695,"",-1.26884670603771,1.37991715938193
"2021-2023","st_btm_delta",0.978687111071686,"R0.98* (0.18)",0.175751327131014,"*",0.185916189666548,1.77145803247682
"2021-2023","st_load_pct",-0.392630702840564,"R-0.39 (0.16)",0.155932293914329,"",-0.856008396049278,0.0707469903681495
"2021-2023","st_gas_exposure",0.286187270712199,"R0.29* (0.06)",0.0644285067647623,"*",0.126168433855874,0.446206107568525
"2021-2023","st_saifi_delta",0.082380804486393,"R0.08 (0.11)",0.112711927252131,"",-0.232990947948034,0.39775255692082
"2021-2023","ca_rescale",0.0381415230775144,"R0.04 (0.07)",0.0703356454513119,"",-0.1581352019153,0.234418248070329
"2021-2023","st_rate_delta_pre",-0.327180513686468,"R-0.33* (0.09)",0.0884494061061361,"*",-0.551489069693469,-0.102871957679466
