"timeframe","state","rate_delta","rate_delta_nominal","resi_rate_delta","rate_pct","wind_solar_delta","wind_solar_pct","load_delta","load_pct","btm_delta","ee_delta","ev_delta","gas_share","gas_exposure","gas_exposure_nominal","coal_retirements_twh","utility_owned_gen","pou_pct","switching_pct","dr_potential","region","iso","expected_loss_mwh","expected_loss_fire_mwh","rate_delta_pre","rate_delta_nominal_pre","rate_pct_pre","saifi_delta","ami_delta","ca","rps_sales_cost"
"2018-2024","LA",-1.01358511475383,0.97,-0.417260862579699,-0.104562460921825,1.22018982583164,623.077732662667,4157928,0.0441458902755813,0.088521322244865,0.525413826466824,NA,0.693464317657007,2.68930455595909,23.7334272862259,0,0.65198716112025,0.17431218079014,0,0.0823321399836862,"south",1,26.2802192586452,0.131236796869863,-1.12898306375627,-0.329999999999999,-0.10431748224031,0.074,0.631960567743571,0,0
"2018-2024","MA",1.34528952738,5.48,2.910211172253,0.059434801651531,7.35966519743093,1.66792479074054,-3999029,-0.0750497667928453,4.81979322245317,4.6113021203265,NA,0.741237086037831,4.12969895060332,36.9907728868001,0,0.0912303384059646,0.0873935559276895,0.626591397453871,1.82737927328199,"northeast",1,12.2461137424549,0.0343955756266717,3.7339785762829,3.99,0.19755735369203,-0.295,0.0419608140090664,0,2.6759894452389
"2018-2024","MD",0.533335956199499,3.51,1.1582513584662,0.0366637982834832,2.45280001789612,1.11124269683587,-3284455,-0.052901313176924,1.11447887182407,8.39767415134465,NA,0.377386403819349,1.40225047138231,12.3274148982058,77.1183456033723,0.0944059341781603,0.0587025446913754,0.485301416365801,8.9262419874523,"south",1,11.4185938073381,0.0914813998916037,-1.1487519961782,-0.0899999999999999,-0.0731902864665802,-0.002,0.0759383068789314,0,3.47224290712386
"2018-2024","ME",3.1761887161074,6.18,3.2862959805989,0.193154048126216,7.17330812573526,0.337738267806425,-1110819,-0.0899097752868739,10.7823618489854,2.798238535731,NA,0.260175180271924,1.57150121255434,14.1664130978625,0,0.00023006627183149,0.0250409160348003,0.440024862619645,0.300046340120622,"northeast",1,14.7257898468187,0.0517401963615556,0.9949704644193,1.58,0.0644042149211051,0.5115,0.0422950057402509,0,4.61443512372416
"2018-2024","MI",0.0312791839174,2.76,0.141865209782701,0.00221387231898554,4.5522553455834,0.945864757787165,-6038496,-0.0575810529307779,0.254995491456015,6.92454851445087,NA,0.345190482625454,1.3397559410044,12.0274968044922,1.03735146319811,0.791879160261938,0.120254142620818,0.0861521014416191,5.1497715697297,"midwest",1,8.48794403589749,0.0529286053326532,-0.5224368559703,0.19,-0.0356584010399976,0.2195,0.0739495910349235,0,0.353703704791216
"2018-2024","MN",-0.4921784967348,1.99,-0.865209782747899,-0.0382953362233369,10.555621282101,0.552356374966832,-3354382,-0.048820564571001,0.541680261529098,2.7613033419285,NA,0.204408165374115,0.898433296505158,8.00776742611661,0,0.670950871643478,0.360768234567381,0,21.5976986167415,"midwest",1,12.0981549754774,0.609655874518574,0.553570673896399,0.959999999999999,0.0450108404032872,0.037,0.386714849551203,0,0
"2018-2024","MO",-1.216859447693,1.16,-1.1443591275769,-0.0988765210868731,6.88230398602212,2.00153676585971,-3639835,-0.0443580276771298,0.612861964069264,2.0546850141778,NA,0.108121543427635,0.501398039999303,4.50797023012787,0.28104600212062,0.894087183831216,0.317985347432743,0,1.34769789851433,"midwest",1,18.7625457934466,0.183526443325518,0.4918313160821,0.890000000000001,0.041627604319131,0.184,0.483818560374339,0,0.398562421744064
"2018-2024","MS",-0.7972148456972,1.58,-0.690890593523001,-0.0686235777065338,2.04116312946057,3.97425731531842,-1133068,-0.0224859390941882,0.0327437079116269,0.29409568466257,NA,0.761642238972541,2.73336599930716,24.0898393499293,6.30179286006869,0.922568671997909,0.529870742347994,0,7.62982578632068,"south",1,20.2240219380157,0.377906700731193,-0.645670242142,0.130000000000001,-0.0526523927703029,0.198,0.434616773054273,0,0
"2018-2024","MT",-0.339823218606501,2,-1.1909572936569,-0.0303961173590773,15.8401375292875,2.04342844130675,812155,0.0547316856534319,0.609896952055906,0.312799328368209,NA,0.0249245923686752,0.151012581626367,1.38089251251202,0,0.518316486333225,0.259907466933596,0.200982915212897,2.47106896800534,"west",0,12.585904938247,3.96100907913689,-0.9337364699748,0.26,-0.0770819225710321,-0.1415,0.045056487761645,0,0
"2018-2024","NC",-0.00978758903670141,2.37,0.176827636495499,-0.000841596543511085,4.48159901807962,0.904329154634257,-1486404,-0.0107486579182584,0.477351276013647,2.20626692365286,NA,0.370044504413084,1.97334696523035,17.6017672723218,13.1582411602323,0.770016064978045,0.258709561392458,0,7.5227339107895,"south",0,18.2925355673235,0.163502422486916,-0.808089272833199,0.00999999999999979,-0.0649700332144719,-0.377,0.41046359238794,0,0
