substation_name,latitude,longitude,pnode_match,pnode_id,type
Hull Street Road,37.44443045,-77.57657806,HULLSTR,34885421,LOAD
Hull Street Road,37.44443045,-77.57657806,HULLSTR,34885423,LOAD
Hull Street Road,37.44443045,-77.57657806,HULLSTR,34885425,LOAD
Hunter,38.94811967,-77.32836393,HUNTER,34886287,LOAD
Hunter,38.94811967,-77.32836393,HUNTER,34886289,LOAD
Bennington,37.30857259,-79.93011714,HUNTINCT,32411615,LOAD
Bennington,37.30857259,-79.93011714,HUNTINCT,1084383072,LOAD
Idylwood,38.88564244,-77.20960835,IDYLWOO4,123900989,LOAD
Idylwood,38.88564244,-77.20960835,IDYLWOO4,135389827,GEN
Idylwood,38.88564244,-77.20960835,IDYLWOO4,1379258867,LOAD
Idylwood,38.88564244,-77.20960835,IDYLWOO4,1379258868,LOAD
Independent Hill D.P.,38.63250082,-77.46074687,INDEPHIL,34886295,LOAD
Industrial Park,36.86389966,-76.24852728,INDUSTPK,34885881,LOAD
Industrial Park,36.86389966,-76.24852728,INDUSTPK,34885883,LOAD
Industrial Park,36.86389966,-76.24852728,INDUSTPK,34885885,LOAD
Industrial Park,36.86389966,-76.24852728,INDUSTPK,112586035,LOAD
Ingersoll Rand,37.34452674,-79.92031606,INGERSOL,1165472109,LOAD
Ingles St,37.11704384,-80.59313942,INGLESST,32411677,LOAD
Iron Bridge,37.40862166,-77.50466853,IRONBRI4,34885431,LOAD
Iron Bridge,37.40862166,-77.50466853,IRONBRI4,34885433,LOAD
Iron Bridge,37.40862166,-77.50466853,IRONBRI4,34885435,LOAD
Iron Bridge,37.40862166,-77.50466853,IRONBRI4,36181301,GEN
Ivy Hill,37.42575301,-79.29093033,IVYHILL,32411691,LOAD
Jacksons Ferry,36.8791622,-80.82317025,JACKSONS FERRY,34509195,EHV
Jarratt,36.82027337,-77.48376492,JARRATT,34885441,LOAD
Jarratt,36.82027337,-77.48376492,JARRATT,34885443,LOAD
Jarratt,36.82027337,-77.48376492,JARRATT,34885445,LOAD
Jarratt,36.82027337,-77.48376492,JARRATT,34885447,LOAD
Jefferson Street,38.797078,-77.05484794,JEFFERSON,34509197,EHV
Jetersville,37.28060252,-78.11164197,JETERSVL,34885449,LOAD
Jetersville,37.28060252,-78.11164197,JETERSVL,36181303,GEN
Jetersville,37.28060252,-78.11164197,JETERSVL,36181305,GEN
Jewell Ridge,37.19242587,-81.7830456,JEWELRDG,1218905982,LOAD
Jewell Ridge,37.19242587,-81.7830456,JEWELRDG,1218905983,LOAD
Johnson DP,38.83203344,-77.46574692,JOHNSNDP,34886305,LOAD
Evington,37.24017236,-79.30200924,JOHNSONM,32411713,LOAD
Joshua Falls,37.42539439,-79.03621227,JOSHUA FALLS,34509199,EHV
Kings Dominion,37.84628421,-77.44170624,KDOMINDP,34885453,LOAD
Kings Dominion,37.84628421,-77.44170624,KDOMINDP,1379258356,LOAD
Keene Mill,38.77393307,-77.26349495,KEENMILL,34886307,LOAD
Keene Mill,38.77393307,-77.26349495,KEENMILL,34886309,LOAD
Kenbridge,36.9596282,-78.13172368,KENBRIDG,34885455,LOAD
