Name,HIFLD_Name,HIFLD_ID,city,City_Prop,zip,type,Type_Prop,status,Stat_Prop,county,Count_Prop,countyfips,StateShort,StateFull,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,LineTxt,max_volt,CurrentMax,min_volt,CurrentMin,max_infer,min_infer,MinVoltCat,geometry
Tazewell,TAZEWELL,155328,NORTH TAZEWELL,North Tazewell,24630,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.148093882,-81.545684174,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-06-25,IMAGERY,2014-06-25,6.0,6,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.54568417365155 37.14809388170657)
Tazewell,TAZEWELL,155329,NORTH TAZEWELL,North Tazewell,24630,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.147225259,-81.54471519,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-09-11,IMAGERY,2014-09-11,2.0,2,34.0,34,-999999.0,Unknown,N,N,Unknown,POINT (-81.54471518970068 37.147225258955835)
Riser155684,RISER155684,155684,SPOTSYLVANIA,Spotsylvania,22551,RISER,Riser,IN SERVICE,In service,SPOTSYLVANIA,Spotsylvania,51177,VA,Virginia,USA,38.114245657,-77.808054417,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017-11-29,IMAGERY,2017-11-29,2.0,2,-999999.0,Unknown,-999999.0,Unknown,Y,Y,Unknown,POINT (-77.80805441685843 38.11424565676518)
Tap155901,TAP155901,155901,BLAND,Bland,24315,TAP,Tap,IN SERVICE,In service,BLAND,Bland,51021,VA,Virginia,USA,37.09698983,-81.130927635,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017-10-16,IMAGERY,2017-10-16,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.13092763487309 37.09698982973765)
Tap155931,TAP155931,155931,BOYDTON,Boydton,23917,TAP,Tap,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.56534455,-78.200920602,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017-11-10,IMAGERY,2017-11-10,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229,POINT (-78.20092060218096 36.565344549723946)
Riser155933,RISER155933,155933,SPOTSYLVANIA,Spotsylvania,22551,RISER,Riser,IN SERVICE,In service,SPOTSYLVANIA,Spotsylvania,51177,VA,Virginia,USA,38.105920936,-77.805676262,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017-11-29,IMAGERY,2017-11-29,2.0,2,-999999.0,Unknown,-999999.0,Unknown,Y,Y,Unknown,POINT (-77.80567626189101 38.10592093580967)
North Alexandria,NORTH ALEXANDRIA,155934,ALEXANDRIA,Alexandria,22301,SUBSTATION,Substation,IN SERVICE,In service,ALEXANDRIA,Alexandria,51510,VA,Virginia,USA,38.820524474,-77.05197835,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.alexandriava.gov/uploadedFiles/special/dominion/DVP%20Presentation%2003-23-16%20230%20kV%20Update.pdf",2017-11-30,IMAGERY,2017-11-30,4.0,4,230.0,230,230.0,230,N,N,Min 230,POINT (-77.05197834967355 38.82052447427497)
Tap156257,TAP156257,156257,GREENBUSH,Greenbush,23357,TAP,Tap,IN SERVICE,In service,ACCOMACK,Accomack,51001,VA,Virginia,USA,37.752666536,-75.678621659,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2018-05-02,IMAGERY,2018-05-02,3.0,3,69.0,69,69.0,69,Y,Y,69 to 114,POINT (-75.67862165885013 37.75266653600455)
Liberty,UNKNOWN156824,156824,MANASSAS,Manassas,20109,SUBSTATION,Substation,IN SERVICE,In service,PRINCE WILLIAM,Prince William,51153,VA,Virginia,USA,38.774640466,-77.53375099,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017-11-28,IMAGERY,2017-11-28,4.0,4,230.0,230,115.0,115,N,N,115 to 229,POINT (-77.53375099000655 38.77464046567373)
Railroad DP,UNKNOWN156825,156825,MANASSAS,Manassas,20109,SUBSTATION,Substation,IN SERVICE,In service,PRINCE WILLIAM,Prince William,51153,VA,Virginia,USA,38.777276909,-77.535702148,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017-11-28,IMAGERY,2017-11-28,2.0,2,230.0,230,230.0,230,N,N,Min 230,POINT (-77.53570214787165 38.777276908841124)
Onancock Diesel Generation Facility,ONANCOCK DIESEL GENERATION FACILITY,156947,ONANCOCK,Onancock,23417,SUBSTATION,Substation,IN SERVICE,In service,ACCOMACK,Accomack,51001,VA,Virginia,USA,37.745365112,-75.720179516,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2018-05-02,IMAGERY,2021-06-01,1.0,1,69.0,69,69.0,69,Y,Y,69 to 114,POINT (-75.72017951603249 37.745365111788516)
