,substation_name,latitude,longitude,pnode_match
98,Perdue Diesel Generation Facility,37.74189181,-75.65576839,PERDUE
566,Permac,37.15704533,-81.9835342,PERMAC
373,Perth,37.01366302,-79.00402362,PERTH
550,Peters Mountain,37.37210044,-80.79814558,PETERSMO
388,Philpott,36.77607146,-80.02717068,PHILPOTT
101,Pinnacles,36.6669097,-80.4479937,PINNACLE
591,Pioneer,38.754656,-77.512828,PIONEER
397,Pipeline,37.52167631,-77.4259527,PIPELINE
288,Pipers Gap,36.75858586,-80.74842048,PIPERSGA
116,Plaza,37.49803979,-77.47818438,PLAZA
125,Pleasant View,39.07716711,-77.52943229,PLEASANT VIEW
126,Pleasant View,39.07590817,-77.5288222,PLEASNTV
500,Pleasant Hill,36.55111147,-77.52904785,PLESNTH4
383,Poages Mill,37.19948276,-80.0346502,POAGESMI
513,Poe,37.19995371,-77.35909115,POE
576,Poland Road,38.91751631,-77.49173629,POLANDRD
416,Polyester PS,37.2981794,-77.28344423,POLYESTR
426,Possum Point,38.54052188,-77.27942618,POSSUMP4
45,Possum Point,38.5374136,-77.28117929,POSSUMP4
530,Prices Fork,37.22961721,-80.44460014,PRICESFO
54,Prince William Dp,38.74964876,-77.47438746,PRINCWIL
172,Proffit,38.11857582,-78.41537937,PROFITDP
545,Progress Park,36.96108746,-81.00360188,PROGRESS
427,Quantico,38.51635438,-77.30371462,QUANTICO
355,Radnor Heights,38.88597774,-77.08253236,RADNORHT
560,Railroad DP,38.77727691,-77.53570215,RAILRDDP
347,Ravensworth,38.79675185,-77.24370308,RAVENSWO
510,Reams,37.08919504,-77.42517513,REAMSDP
324,Redbud,39.21197165,-78.13499188,REDBUD
170,Red Hill,37.96676425,-78.62678058,REDHILL
74,Red Oak (AP),37.21217184,-81.75237776,REDOAKA
219,Reedy Creek,36.69771299,-78.87641442,REEDYCRK
249,Reeves Ave,36.84204059,-76.27318095,REEVESAV
446,Remington,38.53964352,-77.7772197,REMINGTN
447,Remington CT,38.543852,-77.76959512,REMNTNCT
199,Reston,38.95291359,-77.34561861,RESTON
83,Reusens,37.46249542,-79.18712614,REUSENS
391,Reymet,37.38896585,-77.40747616,REYMET
3,Richlands,37.09214044,-81.80664264,RICHLAND
153,Ridgeway,36.58641859,-79.8386542,RIDGEWAY
136,River Road,37.5744277,-77.5751679,RIVERRD
334,Riverton,38.96540748,-78.17722791,RIVERTON
221,Riverville,37.5111295,-78.91198683,RIVERVIL
280,Roanoke Electric Steel,37.27560807,-79.99904598,ROANELST
272,Roanoke,37.25039131,-79.9208591,ROANOKE
229,Rockcastle,37.13219084,-79.57128068,ROCKCAST
84,Rockbridge,37.79844248,-79.41556716,ROCKRIDG
356,Rosslyn,38.89607909,-77.07153605,ROSLYN
587,Roundtable,39.00522961,-77.46653049,ROUNDTBL
264,Ruritan,36.81938786,-76.25825674,RURITAN
311,Rustburg,37.27718258,-79.10626852,RUSTBURG
539,Saltville,36.89548797,-81.75334542,SALTVILL
509,Sapony,36.94478174,-77.47668023,SAPONY
528,South Christiansburg,37.1192675,-80.39790868,SCHRISTI
163,Scottsville,37.79546857,-78.50932864,SCOTTSVI
482,Seaford,37.17419781,-76.47677782,SEAFORD
452,Septa,37.01474397,-76.73866348,SEPTA
267,Sewell's Point,36.93102593,-76.31858042,SEWELLPT
14,Shack Mills Station,37.21348876,-81.90381736,SHACKMIL
27,Southampton Power Station,36.65318665,-76.99554592,SHAMPTON
332,Shannon Hill,37.88256715,-78.04595556,SHANNON
384,Shawsville,37.14759537,-80.26555339,SHAWSVIL
132,Shellhorn,38.998881,-77.471994,SHELHORN
463,Shellbank,37.02997092,-76.3670871,SHELLBNK
171,Sherwood,38.02126164,-78.52598849,SHERWOOD
395,Shockoe,37.55280144,-77.42762436,SHOCKOE
137,Short Pump,37.65962425,-77.62363304,SHORTPMP
208,Sideburn,38.7982307,-77.29637919,SIDEBURN
216,Sinai,36.74305068,-78.92984967,SINAI
71,Skaggs Branch,37.17674762,-82.03274296,SKEGGSBR
179,Skimmer,37.52011721,-79.35164297,SKIMMER
41,Slabtown,38.22456512,-77.47377842,SLABTNDP
310,South Lynchburg,37.36193425,-79.17982079,SLYNCHBU
358,Smith Mountain,37.04034538,-79.53246603,SMITH MOUNT
480,Smithfield,36.9597007,-76.66956785,SMITHFLD
191,NOVEC Smoketown,38.64157111,-77.30230777,SMOKTNDP
86,Snowden,37.57358082,-79.37089437,SNOWDENR
218,South Boston,36.70029515,-78.91301087,SOBOSTON
489,South Hill,36.72624205,-78.11698543,SOUTHILL
115,Southwest,37.50207966,-77.5323324,SOUTHWES
149,Sowego DP,38.59129348,-77.57779074,SOWEGODP
328,Sperryville,38.65846951,-78.22062419,SPERRYVI
411,Spruance NUG,37.45453351,-77.429386,SPRUANCE G3G4
434,Stafford,38.44610159,-77.3891976,STAFFORD
275,Starkey,37.21172208,-79.9872354,STARKEY
315,Staunton,38.14781859,-79.06615965,STAUNTON
327,Stephenson,39.24490028,-78.08836906,STEPHENS
204,Sterling Park,38.99468114,-77.42076954,STERLING
299,South Creek,37.36208653,-78.85163391,STHCREEK
422,St Johns DP,38.0293359,-77.43118131,STJOHNDP
421,St. Johns,38.03114507,-77.42765586,STJOHNS4
150,Stockton,36.6825974,-79.7404935,STOCKTON
165,Strasburg,39.00164336,-78.35871382,STRASBUR
266,Stumpy Lake,36.77946913,-76.15755976,STUMPYLK
239,Suffolk,36.7103221,-76.58046887,SUFFOLK
202,Sully,38.91977204,-77.42839291,SULLY
453,Surry,37.16202033,-76.69477726,SURRY
353,Swinks Mill,38.95016605,-77.19950261,SWINKMIL
283,Tank Hill,37.00202307,-79.89815497,TANKHILL
96,Tasley,37.70603558,-75.70276562,TASLEY
556,Tazewell,37.14809388,-81.54568417,TAZEWELL
523,South Christianburg,37.12252838,-80.38395996,TECHDRIV
252,Thalia,36.83951016,-76.13444539,THALIA
257,Thole Street,36.90006169,-76.25806708,THOLEST
281,Thornton,36.92493006,-79.92403451,THORNTON
263,Thrasher,36.7592624,-76.24016888,THRASHER
292,Timberville,38.62739254,-78.77872878,TIMBERVL
459,Toano,37.3632413,-76.80487749,TOANO
141,Todds Tavern DP,38.2478853,-77.66591262,TODDSTVN
562,Bland,37.09728154,-81.13053873,TOWNCRK
139,Trabue,37.50726651,-77.62899297,TRABUE
499,Trego,36.6010095,-77.63719698,TREGO
317,Trices Lake,37.66297275,-78.23822108,TRICESLK
428,Turner Road,37.44748273,-77.30143635,TURNER
399,Twelvth Street,37.53357342,-77.43984127,TWELFTHS
403,Tyler,37.35109094,-77.39523909,TYLER
352,Tysons,38.93202821,-77.23689132,TYSONS
32,Virginia Beach,36.84999299,-76.01704977,VABEACH
375,Valley,38.3143416,-78.97081062,VALLEY
48,Van Dorn,38.79499351,-77.14928538,VANDORN
376,Verona,38.18989681,-78.98580918,VERONA
522,Vicker,37.16524664,-80.44405861,VICKER
155,Vinton,37.26829925,-79.86295506,VINTON
488,Kerr Dam,36.60085533,-78.30124511,VP KERR DAM 1-7
498,Wakefield,36.89790269,-76.89784094,WAKEFIEL
29,Waller,37.29585336,-76.70554961,WALLER
479,Chincoteague,37.88098031,-75.52172576,WALLOPS
203,Walney,38.8936558,-77.41158523,WALNEY
418,Walthall,37.30339617,-77.39916863,WALTHALL
